Job Title,Key Skills,Functional Area,Industry,Predicted_Category
Production Manager, Production Engineer,"Production , Manufacturing , Maintenance","Construction, Engineering, Cement, Metals",Others
Software Developer,RRC| C++| C| 3G| Data Structures| OOPS| RLC| C++ Programming| Memory Management| LTE| Mac,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",IT
HR Executive, hr| human resource| hr generalist| Recruitment| Office Administration,"HR , Recruitment , Administration , IR","Education, Teaching, Training",Others
Sales/Business Development Manager, International marketing| Heavy machinery| Industrial machinery| International sales| Sales Person,"Sales , Retail , Business Development","Recruitment, Staffing",Others
Software Developer, Windows| Android| SEO| c#| C| Email| level| Web development| testing| mobile| Troubleshooting| ios| Computer science| English| web| design| developer| Soft skills| applications,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Software Developer, Unix| Linux| GCP| Process improvement| Configuration management| Shell scripting| Automation tools| Troubleshooting| Monitoring| Firewall,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Outside Consultant, English| Oracle Apps| Module| Technical| Programming| Language skills| Business Executive| Application| Coach,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Team Lead/Technical Lead, SAP BPC| Business Intelligence| SAP Hana| SAP BW| Big Data,"IT Software - ERP , CRM","IT-Software, Software Services",IT
Software Developer, SQL| PHP| Android| Monitoring| Engineer Trainee| Software Engineer Trainee| Programming| IOS| Banking| POP,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Key Account Manager, communication skills| presentation skills,"Sales , Retail , Business Development","Medical, Healthcare, Hospitals",Others
Software Developer, Front end| Javascript| angularjs| Internet technologies| E-commerce,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",IT
Medical Officer, medical billing| denial handling| AR calling,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Healthcare
Maintenance Engineer, monitoring| preventive maintenance| diesel| pms| maintenance plan| purchase| equipment| equipment list| management| material,"Site Engineering , Project Management","Oil and Gas, Energy, Power, Infrastructure",IT
Dermatologist, Medicine| Service Level| Mbbs| Bhms| Relationship Management| Consulting| Cosmetology| Bams| Follow Ups,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Healthcare
Commis, commis,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Others
Staffing Specialist/ Manpower Planning, interviewing| recruitment| us staffing| sourcing,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Others
Team Lead/Technical Lead, Jenkins| Java| Open Source| Test Automation| Mobile Applications| Shell Scripting| Grid| Appium| Automation Testing| Test Lead| Selenium| JMeter,IT Software - QA & Testing,"Telcom, ISP",IT
Software Developer, Application integration| Performance tuning| development| SSRS| Mentor| developing| Biztalk| Sound| Business Executive| Ideas| quality| Supply chain| application| Technical| design| oops| support,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Software Developer, Base SAS,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Software Developer,Oracle|Informatica|MS SQL|Data analysis|Agile methodology|Analytical|Excel|Downstream|Software development life cycle|it advisory,"IT Software - Application Programming , Maintenance",Accounting / Finance,IT
Lecturer/Professor, education| teaching| training| professor| lecturer,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Others
Interior Designer,autocad| photoshop| wallpaper| design management| interior designing| interiors| 2d,"Architecture , Interior Design","Architecture, Interior Design",Others
Functional Outside Consultant, Supply chain management| Project management| Analytical| Healthcare| System design| Gap analysis| Troubleshooting| System analysis| Facility management| FICO,"IT Software - ERP , CRM","IT-Software, Software Services",IT
Associate/Senior Associate -(Technical), customer service representative| back office| backend| non voice| calling| cold calling| customer care executive| blended process| back office executive| data entry| data entry operator,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Sales/Business Development Manager, Sales| Key Accounts| Accounting| Key Account Management| Business Development,"Sales , Retail , Business Development","Architecture, Interior Design",Others
Recruitment Executive,Communication Skills|IT Recruitment|Team Coordination|Placement|C2H|Hiring|Sourcing|Team Leading|Mapping|Interviewing,"HR , Recruitment , Administration , IR",Recruitment / Staffing,Others
Associate/Senior Associate -(NonTechnical), PR| international bpo| chat process| Aviation| back office| web chat| Guest Relations| Public Speaking| bcom| fresher| inbound process| outbound| uk process| icse| communication skills| cbse,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Sales Executive/Officer, sales achievement| business development| channel development| market study| channel sales| distributors| dealers| channel| distributor,"Sales , Retail , Business Development","Architecture, Interior Design",Others
Software Developer, Architecture| Coding| Continuous improvement| Compliance| Investigation| Software| Presentation| life| Coldfusion| Scripting,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",IT
Software Developer, TCP| C++| Networking| Computer science| Embedded systems| Multithreading| Coding| Social media| Unit testing| Sales account,"IT Software - Application Programming , Maintenance","Textiles, Garments, Accessories",IT
Sales Executive/Officer, payment| sales| customer,"Sales , Retail , Business Development","IT-Software, Software Services",Others
Medical Officer, Biotechnology| pharmaceutical| gnm| Bpt| microbiology| nursing| biomedical| bds| medical coding| Pharmacy| medical coder| Botany| biochemistry| life sciences| pharma| zoology,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Healthcare
Taxation(Direct) Manager,assessment|gst implementation|gst assessment|direct tax,"Accounts , Finance , Tax , Company Secretary , Audit",Real Estate / Property,Others
Software Developer, Computer science| jQuery| Coding| XML| MySQL| SQLite| JSON| Android SDK,IT Software - Mobile,"Consumer Electronics, Appliances, Durables",IT
IT/Networking-Manager, Redhat Linux| Access Management| Linux Installation| Fault Management| Web Technologies| Cisco IPS| Security Management| Firewall,"IT Software - Network Administration , Security","IT-Software, Software Services",IT
Fresher, mechanical engineer| six sigma| Electronics| electrical| mechanical| engineer| Corporate Law| kaizen| Chemistry| Cyber Law| Chemical| civil| Electrical Engineering,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Others
IT/Technical Content Developer, creative writing| data development engineer| technical documentation engineer| technical writer| Creative Content| content editor| Content Writing| content writer,IT Software - Telecom Software,"Telcom, ISP",IT
Sales Coordinator, quotation| invoice| billing| sales support| excel| ms excel| mis reporting| coordination skills| sales| marketing| business development| client servicing| back office| office| calling| fresher| coordination| coordinator,"Sales , Retail , Business Development","Travel , Hotels , Restaurants , Airlines , Railways",Others
Recruitment Executive, documentation| excellent | datase| hr recruiter| interviews| computer skills| joining formalities| telephonic| microsoft windows,"HR , Recruitment , Administration , IR","Banking, Financial Services, Broking",Others
Software Developer, PHP| HTML| Oracle| Computer science| MySQL| mobile| Data structures| Perl| Selenium| Open source| Python,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Software Developer, Backend| Data modeling| Ruby| NoSQL| Testing| Deployment,"IT Software - Application Programming , Maintenance","Media, Entertainment, Internet",IT
Design Engineer, Architecture| Technical support| Design review| Structural design| Design analysis| Bidding,"Engineering Design , R&D","Construction, Engineering, Cement, Metals",IT
Head/VP/GM - Analytics & BI, scientist| Analytical,Analytics & Business Intelligence,"KPO, Research, Analytics",IT
Software Developer, Coding| XML| SDLC| Computer science| Consulting| Healthcare| Scheduling| User acceptance testing| Downstream| Human capital management,"IT Software - Application Programming , Maintenance","Strategy, Management Consulting Firms",IT
Marketing Research Executive/Manager, software development| self motivated| web marketing| communication skill| custom| clients| business| be| skills| support,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Marketing
Legal Officer, Legal| Contract Management| LLB| Corporate Law| Merchant Banking| legal documentation,"Financial Services , Banking , Investments , Insurance","IT-Software, Software Services",Others
Chartered Accountant, Accounts| finance| Accountant| tax| accounts| accounting| cost analysis| transactions| taxation| reconciliation,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Others
Design Engineer, Geometry| HyperMesh| Email| Simulation| Ansys| Finite element analysis| Business Executive| Automotive| Structural analysis,"Engineering Design , R&D","Strategy, Management Consulting Firms",IT
Design Engineer, Offshore| Oil| Gas| Design Engineering| EPC| Process Design,"Engineering Design , R&D","Oil and Gas, Energy, Power, Infrastructure",IT
Content Developer, pr| grammar| bios| blogs| content writing| content editing| seo| articles| online research| write,"Journalism , Editing , Content","IT-Software, Software Services",IT
Head/VP/GM-Marketing, Life Cycle| Portfolio Management| New Product Launch| Market Analysis| Supply Chain| Pricing Strategy| Marketing| Business Case,"Marketing , Advertising , MR , PR , Media Planning","Pharma, Biotech, Clinical Research",Marketing
Sales Executive / Officer, Channel Development| Lead Generation| Channel Sales| Tele Caller,"Sales , Retail , Business Development",IT-Hardware & Networking,Others
Software Developer, Coding| MongoDB| Backend| Architecture| Manager Technology| Deployment| Architect| Web technologies| CSS| Javascript,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",IT
Testing Engineer, Business Executive| level| Technical| House| Testing| Time| Final,IT Software - QA & Testing,"IT-Software, Software Services",IT
Associate/Senior Associate -(NonTechnical), Russian interpretor| data analysis| Customer Service| Help Desk| Information| Telephony support| customer relationship| access controls| Vendor Management| Asset Management,"ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals",IT
Sales/Business Development Manager, bd| bidding| it services| elance| documentation| open source| proposal writing| software sales| business development executive| good analytical skills,"Sales , Retail , Business Development","IT-Software, Software Services",IT
Software Developer, com| PLM| caa| vpm| c++| enovia| software development| delmia| catia| programming,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Software Developer, Analytics| Coding| Open source| technical| software| Technical writing| level| methods| Marketing campaigns| Data processing| developing| it| apache| spark| service| infrastructure| Machine learning| Relationship| developer| big data,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Associate/Senior Associate -(Technical), Outbound| Service| Night shift| English| process| US shift| Business Executive| Technical support| Recruitment| Comp,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Functional Outside Consultant, Computer science| Mobile technology| Business process| Test scripts| Gap analysis| Continuous improvement| enterprise mobility| Medical insurance| sap mobile| Product service,"IT Software - ERP , CRM","IT-Software, Software Services",IT
Associate/Senior Associate -(Technical), Fabrication| Internal audit| Project management| Risk assessment| Hazard identification| Investigation| HSE| HSE management system| Material handling| Auditing,"ITES , BPO , KPO , LPO , Customer Service , Operations","Construction, Engineering, Cement, Metals",IT
Product Manager,product management|product strategy|user stories|financial services|business design|business process,IT Software - Other,Banking / Financial Services / Broking,Others
Sales Executive/Officer, Trade| Basic| Sales| Networking| Packaging| microsoft,"Sales , Retail , Business Development","Aviation, Aerospace, Aeronautical",Others
HR Manager, HR Generalist Activities| HR Processes| Exit Management| Human Resource Management| Employee Engagement| HR Operations| HR Analytics| Recruitment| Onboarding| Talent Acquisition,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Others
Associate/Senior Associate -(NonTechnical), international bpo| voice process| night shift| calling| domestic| bpo hiring| Fresher| mba| hr mba| customer service,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Associate/Senior Associate -(NonTechnical), Staffing| Operations| Monitoring| operational support,"ITES , BPO , KPO , LPO , Customer Service , Operations","Banking, Financial Services, Broking",IT
Technical Support Engineer, assembly language| website| C| HTML| ajax| javascript| jquery| SQL| xhtml| Six Sigma| PMP| xml| linux| .NET| Oracle| Python,IT Software - Telecom Software,"Strategy, Management Consulting Firms",IT
Interior Designer,3ds max| interior designing| visualiser| vray| visualizing| photoshop| autocad| internships| sketching| 3d| design,"Architecture , Interior Design","Architecture, Interior Design",Others
Sales Executive/Officer, Sales Coordinator| Sales coordination| Payment collection| Backend,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Others
System Administrator, Capacity management| VMware| Automation| IIS| WAN| Consulting| LAN| Windows| SQL| Firewall,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",IT
Commercial Manager, sales management| dispatch| order management| sales coordination| sales order processing| warehouse,Purchase / Logistics / Supply Chain,"Architecture, Interior Design",Others
Accounts Executive/Accountant, Financial Reporting| Accounting| Finance| Cash Handling| Accounts Receivable| Daily Operations| Bank Reconciliation| Accounts Payable,"Accounts , Finance , Tax , Company Secretary , Audit","Education, Teaching, Training",Others
Recruitment Executive, Networking| Resourcing| Recruitment| Nursing| Social media| Head hunting| Database| Management| Monitoring| Supervision,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Others
Telecalling/Telemarketing Executive, Computer Operator| Typing| data| Non Voice Process| Non Voice| Voice Process| Data Entry| Inbound| Data Entry Operator| Backend| Domestic Voice Process| Domestic| Back Office| Fresher| Call Center| Voice| Data Entry Operation| International BPO,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Software Developer, OO| structures| JSON| Data| SOAP| REST| web| XML| SQLite| MySQL| integration,"IT Software - Application Programming , Maintenance",IT-Hardware & Networking,IT
Design Engineer/Manager, Automation| Mechatronics| Hydraulics| CAD| Mechanical| Equipment design| LCA| Robotics| Testing,"Production , Manufacturing , Maintenance","Recruitment, Staffing",IT
Construction-Construction Management, Help Desk| Customer Service| data analysis| customer relationship| access controls,"Site Engineering , Project Management","Construction, Engineering, Cement, Metals",IT
F&B Manager, Customer service| Recruitment| F&B Executive| F&B Associate| Supervisor| Training| Sales| KPI| Management Supervisor| Trainee Supervisor,"Hotels , Restaurants","IT-Software, Software Services",IT
Client Servicing/Key Account Manager, Outbound| Interpersonal skills| Email| Word| Infrastructure management| IT infrastructure| cloud storage| Inside sales| Marketing strategy,"Sales , Retail , Business Development","IT-Software, Software Services",Others
Software Developer, MySQL| Data structures| Middleware| Backend| Front end| Web services| Architecture| Coding| Postgresql| Debugging,IT Software - System Programming,"Internet, Ecommerce",IT
Associate/Senior Associate -(NonTechnical), Senior Process Associate| BPO| Outbound| English| Ideas| Inbound sales| web sales| US shift| Inbound calls| Voice process,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Associate/Senior Associate -(Technical), DOM| xml| Javascript| SQL Server,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Sales/Business Development Manager, training| recruitment,"Sales , Retail , Business Development",Insurance,Others
Design Engineer, Fabrication| Copyright| Corrective action| Views| ISO| Coaching| CAD| Service| Animation| Engineering Design,"Engineering Design , R&D","Oil and Gas, Energy, Power, Infrastructure",IT
Associate/Senior Associate -(NonTechnical), Root Cause Analysis| Written Communication| Bpo Voice| Problem Solving| Calling| Voice Process| International BPO| UK Process,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Telecalling/Telemarketing Executive, CRM| Customer Support| technical support| Communication Skills| voice based process,"ITES , BPO , KPO , LPO , Customer Service , Operations","Pharma, Biotech, Clinical Research",IT
Analytics Manager, analytics| python| data modeling| PD| predictive modeling| predictive analytics| LGD| statistical modeling| ead| model development| machine learning,Analytics & Business Intelligence,"Banking, Financial Services, Broking",Others
Sales/Business Development Manager, Digital Marketing| Sales Management| Lead Generation| Cold Calling| Client Relationship Management| Client Retention| Business Generation| Event Management| Presentation Skills| Client Communication,"Sales , Retail , Business Development","Advertising, PR, MR, Event Management",Others
Associate/Senior Associate -(Technical), Outbound| process| Executive| Sales| Technical Support Executive| US shift| Inbound voice process| Antivirus| Customer service| Technical support| Comp,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Quality Assurance/Quality Control Executive, QA| Civil| QC| QMS| Inspection| Manager Quality Control,"Production , Manufacturing , Maintenance","Recruitment, Staffing",Others
Sales Executive/Officer, service| networking| sales and marketing| negotiation skills| good communication| promotional activities| result oriented| client relationship| initiative| corporate presentations,"Sales , Retail , Business Development","Real Estate, Property",Others
Technical Support Engineer,Java|Java application support,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,IT
Software Developer, Visual Basic| SSRS| Agile| WCF| MVC| Visual Studio| SSIS| Troubleshooting| Technical support| SDLC,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",IT
Software Developer,front end| java| html5| angularjs,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",IT
Software Developer, C| Resource Management| Project Planning| Software Engineering| SharePoint,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Associate/Senior Associate -(Technical), ITES| KPO| PHP| HTTP| Usage| Diagnostics| International BPO| Customer service operations| Technical Support Executive| Voice support,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",IT
Program Manager, Recruitment| Team management| Performance management| Organizational development| Curriculum development| HTML| HTTP| SPM| Research| Training and Development,"IT Software - Application Programming , Maintenance","Education, Teaching, Training",IT
Software Developer, project management| development| life cycle| c| ux| joomla| it| javascript| java| drupal| web| xml| flex| linux| design| php| html| mysql| pl,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
HR Business Partner, hr operations| recruitment| employee engagement| employee relations| grievance handling| business partnering| talent development| performance management| talent acquisition,"HR , Recruitment , Administration , IR","Education, Teaching, Training",Others
System Administrator, English language| Trend analysis| Service| Customer management| Customer satisfaction| Vmware Administrator| Effort estimation| Windows Administrator,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Software Developer, Core Java| jdk| Multithreading| Design Patterns| OOPS,IT Software - Other,"IT-Software, Software Services",IT
Marketing Manager, Social media| SEO| Internet marketing| SEM| Social media marketing| PPC| Email marketing| Google AdWords| Google Analytics| Project management,"Marketing , Advertising , MR , PR , Media Planning","Internet, Ecommerce",Marketing
Marketing Research Executive/Manager, Senior Executive| Customer service| Analytics| Performance management| Administration| operational support| performance measurement| Multivariate analysis| Consumer insights| Research,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Marketing
Design Engineer, electrical design| procurement| earthing| design| design calculations| classification| pds,"Engineering Design , R&D","Strategy, Management Consulting Firms",IT
Software Developer, html| css| wordpress| laravel| javascript| php| ajax| mysql| json| cms| content management system| drupal| magento,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",IT
Software Developer, SQL| Unix| Automation| Python| Teradata| SAN| Open source| RDBMS| Agile| Computer science,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Accounts Executive/Accountant, Accounting Operations,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance",Others
Operations Manager, collections| coordinating| project coordination| preparation of mis| material| commercial| collection| inspection| payment| projects,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Taxation(Direct) Manager,transfer pricing|treasury operations|international taxation|financial accounting|vat|auditing|income tax|Treasury|finance,"Accounts , Finance , Tax , Company Secretary , Audit",IT-Software / Software Services,Others
HR Manager, IT Recruitment| Human Resource Management| HR Operations| hr management| Recruitment,"HR , Recruitment , Administration , IR","BPO, Call Centre, ITeS",Others
Sales Executive/Officer, Email| Phone| Business Development,"Sales , Retail , Business Development","BPO, Call Centre, ITeS",Others
Sales / BD Manager, waste water treatment| water treatment plant| sales| sales marketing| sales executive| sales engineer| Rural Sales,"Sales , Retail , Business Development","Water Treatment, Waste Management",Others
Chartered Accountant, Due diligence| Excel| Financial analysis| MIS| Business planning| Cash flow| M&A| Cash management| Power point presentation| Corporate restructuring,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Others
Software Developer, Continuous Integration| MongoDB| Webservices| Algorithm| Data Structure| Python,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
DBA, Performance tuning| Service| Consulting| Trend analysis| English language| Customer satisfaction| Oracle admin| Effort estimation| Lead Administrator| Database Administrator,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",IT
Software Developer,Web services| Db2| Cobol| Cics| HTTP| Service| Payroll| BPO| Tools| RTCP,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",IT
Radiologist, Radiologist Full Time,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Healthcare
Documentation/Medical Writing,mis|Excel|Administration|admin,"Engineering Design , R&D",Oil and Gas / Energy / Power / Infrastructure,IT
Software Developer, Networking| Javascript| PHP| Product management| Automation| Content management| jQuery| Wordpress| Healthcare| Python,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
System Administrator, Linux Administration| Server Support| Enterprise Software| Networking| Unix Internals| Linux Server| Infrastructure Services| Windows| Operating Systems| Websphere Administration,IT Software - System Programming,"IT-Software, Software Services",IT
Software Developer, Jenkins| Tomcat| DevOps| JUnit| Chef| JBOSS| Cloud| Apache Server| AWS| IT Infrastructure,IT Software - System Programming,"IT-Software, Software Services",IT
Software Developer, Procurement| IDOCS| SAP FICO| FSCM| Consulting| Business Executive| Inventory| Quest,"IT Software - ERP , CRM","Construction, Engineering, Cement, Metals",IT
Software Developer, asp.net mvc| dot net developer| .net framework| Software Engineer| mvc| senior .net developer| javascript,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Direct Marketing Executive, Sales| HRD| Marketing Executive| Key account management,"Marketing , Advertising , MR , PR , Media Planning","Recruitment, Staffing",Marketing
Software Developer, C++| Windows| Application development| Software development methodologies| development| software| MFC| Business Executive| quality| Graphics| Dicom| PDF| application| Radiology,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Corporate Planning/Strategy Manager, Business Strategy| management consulting| investment banking| corporate strategy| mergers| acquisitions,"Strategy , Management Consulting , Corporate Planning","IT-Software, Software Services",Others
Service/Maintenance Engineer, Infrastructure,"Production , Manufacturing , Maintenance","Telcom, ISP",IT
Associate/Senior Associate -(NonTechnical), Help Desk| Customer Service| data analysis| customer relationship| access controls| Vendor Management,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Counselor, Customer service| Front Office Executive| Service sales| Student Counsellor| Business Executive| Teaching,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Others
Software Developer, Hibernate| Core Java| Struts| Tomcat| Web services| SOA| Database design| Weblogic| Data structures| Release management,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",IT
System Analyst, Python| Six Sigma| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,IT Software - Other,"BPO, Call Centre, ITeS",IT
Class Teacher / Classroom coordinator, School| Preschool| Teaching,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Others
Graphic Designer,Photoshop| Maya| Texturing| Gaming| game development| microsoft| Workflow| 3D| Medical insurance| Room,"Design , Creative , User Experience","IT-Software, Software Services",Others
Software Developer, Business analysis| Change management| Business transformation| Operations| Sales operations| Business process mapping| Investment banking| Subject matter expertise| Manager Technology| Testing,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Others
Waiter / Waitress / Sommelier, steward| f & b service| steward activities| hotel| waiter| hotel management| waiter activities| restaurant management,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Others
Technical Architect, Technical product configuration| design| integration PHP| MySQL| HTML| C| c++| JavaScript,"IT Software - Network Administration , Security","Recruitment, Staffing",IT
Sales/Business Development Manager,industrial sales| enterprise sales| oem sales| pri| pbx| sme sales| concept selling| solution sales| government sales| telecom sales| cctv| corporate sales| vc| epabx| b2b sales| rfid| polycom| it sales| fire alarm system| office automation| direct sales,"Sales , Retail , Business Development","Telcom, ISP",Others
Business Analyst,SQL| Business process| Computer science| google apps| Business administration| Instructional design| Solution Analyst| Business Analyst| office 365,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Software Developer,javascript| drupal| php| cakephp| html5| mobile| symfony| user interface| quality| oop| database| design| developer| css3| applications,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Back Office Executive, Risk management| Operations| Service quality| Trade| Compliance| Banking| Money laundering| Manual| Continuous improvement| Cost,"Financial Services , Banking , Investments , Insurance","Education, Teaching, Training",Others
Training Manager, Export documentation| Shipping line| Interpersonal skills| Export Executive| Export import| Pharma| Import management| Freight,"HR , Recruitment , Administration , IR","Telcom, ISP",Others
Associate/Senior Associate -(NonTechnical), BPO| Voice process| Outbound| Website sales| web sales| Sales process| Interviewing,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Associate/Senior Associate -(Technical), Outbound| Night shift| Technical support| English| Domestic BPO| Sales Agent| Inbound calls| US shift| International BPO| employee referral,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Service/Maintenance Engineer, Customer Service| Help Desk| Information| Telephony support| customer relationship| access controls| Vendor Management| Asset Management,"Production , Manufacturing , Maintenance","Education, Teaching, Training",Others
Software Developer, Networking| Telecommunication| ios development| solid| User interaction| Programming| mobile| mca| IOS| iphone| cocoa| Web services| ui| web| scrum| Object oriented programming,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Physiotherapist, MPT| Pediatrics| Physiotherapy| Corporate| Wellness,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Wellness , Fitness , Sports, Beauty",Healthcare
Purchase/Vendor Development Manager, Procurement| Costing| Project management| Purchase| VAVE| Project monitoring| OEM| Cost reduction| Mechanical| Automotive,Purchase / Logistics / Supply Chain,"Automobile, Auto Anciliary, Auto Components",Others
Accounts Executive/Accountant, AR| Process Development| Finance| General Accounting| Ap,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance",Others
Computer Teacher,School|computing|module|Computer|lesson plan,"Teaching , Education , Training , Counselling",NGO / Social Services / Regulators / Industry Associations,Others
Telecalling/Telemarketing Executive, bpo| tech support| mnc| cce| customer service| customer care| customer support| customer relation| technical support| Customer Care Executive| voice process| voice support| client relation| client service,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
HR Executive, it hiring| hr assistant| IT Recruitment| Non IT Recruitment| HR| HR Recruiter| Recruitment,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Others
National Head, nbfc| geography| recovery| finance,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Others
Software Developer, design| algorithms| c++| C| software| optimization| MySQL| JavaScript| HTML,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Software Developer, Java| Elastic Search| Solr| Lucene| Unit Testing| Big Data Analytics| Software Engineering| Continuous Integration| Machine Learning| Open Source,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Sales/Business Development Manager,Business Development|Corporate Sales|B2B,"Sales , Retail , Business Development",Travel / Hotels / Restaurants / Airlines / Railways,Others
Data Analyst, Data analyst| Billing,Analytics & Business Intelligence,"IT-Software, Software Services",IT
Technical Architect, Unix| SAN| HP storage| Operating systems| storage virtualization| Windows| Customer service| Troubleshooting| Business case| Software services,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",IT
Regulatory Affairs Manager, QC| PSUR| CSR| quality check,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Pharma, Biotech, Clinical Research",Healthcare
Manager / Sr Manager - Administration, Administration Management| HR Administration,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Others
Direct Marketing Executive, market| marketing| business development| Marketing Executive| sales,"Marketing , Advertising , MR , PR , Media Planning","Strategy, Management Consulting Firms",Marketing
Software Developer, Stored procedures| SSIS| MS SQL| server| Usage| development| Prototype| technical| software| functions| Database design| microsoft| SQL Server dba| sql| SQL queries| Software design| database| Reporting services| design| developer| applications,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Technical Architect, cloudera| scala| hadoop| big data,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Associate/Senior Associate -(NonTechnical), Inbound| Outbound Process| Calling| Tele Caller| tele sales| Telecalling| telemarketing,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Software Developer,Front end| UX| GIT| Postgresql| Django| Javascript| Agile| MVC| Python| CSS3,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",IT
